timestamp_pseudoHD,timestamp_DD,side_HD_pseudoHD,side_HD_DD,GT_side_pseudoHD_DD,GT_side_HD_DD,GT_side_HD_pseudoHD,HD_GT_lat,HD_GT_long,pseudoHD_GT_lat,pseudoHD_GT_long,DD_GT_lat,DD_GT_long,DD_prev_lat,DD_prev_long,HD_pseudoHD_GT_bearing,HD_DD_GT_bearing,angle_HD,angle_pseudoHD,angle_DD,Note,estimated_bearing_HD_pseudoHD,bearing_of_DD_from_HD_oneside,bearing_of_DD_from_HD_otherside,lat1,long1,lat2,long2,DD_latest_lat,DD_latest_long,HD_DD_est_bearing,dist_DD_GT_latlong_est_latlong,HD_pseudoHD_dist_diffs,HD_DD_dist_diffs,HD_DD_bearing_diffs
4102512,4179455,5.2,4.6,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,59.63,54.09,66.29,,210,150.37,269.63,33.918939,-84.278994,33.918975,-84.279069,33.918939,-84.278994,150.37,1.2,0.39999999999999947,1.0,6.6299999999999955
4103086,4180015,5.4,4.9,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,56.56,56.56,66.87,,210,153.44,266.56,33.918936,-84.278995,33.918972,-84.279072,33.918936,-84.278995,153.44,0.9,0.1999999999999993,0.6999999999999993,3.5600000000000023
4103660,4180586,5.2,4.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,60.71,51.55,67.75,,210,149.29,270.71,33.918941,-84.278995,33.918975,-84.279067,33.918941,-84.278995,149.29,1.4,0.39999999999999947,1.1999999999999993,7.710000000000008
4104245,4181160,5.3,4.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,59.33,52.18,68.49,,210,150.67000000000002,269.33,33.91894,-84.278995,33.918975,-84.279068,33.91894,-84.278995,150.67000000000002,1.3,0.2999999999999998,1.0999999999999996,6.329999999999984
4104820,4181736,5.2,4.9,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,57.95,57.95,64.09,,210,152.05,267.95,33.918936,-84.278994,33.918973,-84.279072,33.918936,-84.278994,152.05,0.9,0.39999999999999947,0.6999999999999993,4.949999999999989
4105395,4182309,5.3,5.2,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.63,61.15,63.22,,210,154.37,265.63,33.918933,-84.278995,33.918971,-84.279075,33.918933,-84.278995,154.37,0.6,0.2999999999999998,0.39999999999999947,2.6299999999999955
4105958,4182879,5.2,4.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,60.71,51.55,67.75,,210,149.29,270.71,33.918941,-84.278995,33.918975,-84.279067,33.918941,-84.278995,149.29,1.4,0.39999999999999947,1.1999999999999993,7.710000000000008
4106528,4183453,5.2,5.0,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,57.38,59.26,63.36,,210,152.62,267.38,33.918935,-84.278994,33.918973,-84.279073,33.918935,-84.278994,152.62,0.8,0.39999999999999947,0.5999999999999996,4.3799999999999955
4107110,4184027,5.3,5.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,54.5,63.79,61.71,,210,155.5,264.5,33.918931,-84.278995,33.91897,-84.279077,33.918931,-84.278995,155.5,0.3,0.2999999999999998,0.1999999999999993,1.5
4107686,4184600,5.3,5.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.92,65.12,60.95,,210,156.07999999999998,263.92,33.91893,-84.278995,33.91897,-84.279078,33.91893,-84.278995,156.07999999999998,0.2,0.2999999999999998,0.09999999999999964,0.9200000000000159
4108264,4185174,5.2,5.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,54.42,65.91,59.67,,210,155.57999999999998,264.42,33.91893,-84.278994,33.91897,-84.279078,33.91893,-84.278994,155.57999999999998,0.2,0.39999999999999947,0.09999999999999964,1.420000000000016
4108837,4185746,5.2,4.7,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,59.08,55.37,65.56,,210,150.92000000000002,269.08,33.918938,-84.278994,33.918974,-84.27907,33.918938,-84.278994,150.92000000000002,1.1,0.39999999999999947,0.8999999999999995,6.079999999999984
